from_event_id,to_event_id,causality_strength,delay,mechanism
EVT_001,EVT_002,1.0,1,trigger_condition
EVT_002,EVT_003,0.92,4,direct_action
EVT_003,EVT_004,0.78,5,proximity_detection
EVT_004,EVT_005,0.88,3,protocol_response
EVT_004,EVT_006,0.95,5,standard_procedure
EVT_004,EVT_007,0.85,7,safety_protocol
EVT_005,EVT_010,0.72,17,canine_tracking
EVT_007,EVT_008,0.90,8,deployment_protocol
EVT_008,EVT_012,0.70,10,visual_range
EVT_010,EVT_012,0.65,5,track_convergence
EVT_012,EVT_013,0.95,2,engagement_protocol
EVT_013,EVT_014,0.80,3,compliance_response
EVT_009,EVT_015,0.75,16,evasion_action
EVT_015,EVT_016,0.90,5,tactical_response
EVT_016,EVT_018,0.85,9,pursuit_completion
EVT_014,EVT_019,0.95,30,standard_procedure
EVT_018,EVT_019,0.80,13,evidence_protocol
EVT_004,EVT_011,0.88,23,surveillance_deployment
EVT_017,EVT_019,0.90,15,evidence_discovery
EVT_018,EVT_021,0.95,23,medical_protocol
EVT_019,EVT_022,0.90,30,forensic_procedure
EVT_006,EVT_020,0.85,80,analysis_completion
EVT_020,EVT_023,0.92,30,extended_analysis
EVT_018,EVT_024,0.95,73,transport_protocol
EVT_023,EVT_025,0.65,20,intelligence_discovery
EVT_024,EVT_026,0.90,30,completion_procedure
EVT_026,EVT_027,0.85,15,tasking_assignment
