from_constraint_id,to_entity_id,to_entity_type,restriction_type,severity,applicable_conditions
CONST_001,ACT_001,Actor,requires,blocking,threat_level_high
CONST_001,ACT_015,Actor,requires,blocking,threat_level_high
CONST_002,EVT_003,Event,limits,restrictive,always
CONST_002,EVT_009,Event,limits,restrictive,always
CONST_003,ACT_001,Actor,requires,blocking,always
CONST_003,ACT_002,Actor,requires,blocking,always
CONST_003,ACT_014,Actor,requires,blocking,always
CONST_004,ACT_001,Actor,requires,blocking,always
CONST_004,ACT_015,Actor,requires,blocking,always
CONST_005,ACT_001,Actor,requires,blocking,always
CONST_005,ACT_007,Actor,requires,blocking,always
CONST_006,ACT_001,Actor,requires,blocking,always
CONST_006,ACT_002,Actor,requires,blocking,always
CONST_006,ACT_004,Actor,requires,blocking,always
CONST_006,ACT_008,Actor,requires,blocking,always
CONST_007,ACT_001,Actor,conditions,advisory,force_escalation
CONST_007,ACT_015,Actor,conditions,advisory,force_escalation
CONST_008,EVT_019,Event,conditions,advisory,always
CONST_009,ACT_001,Actor,requires,blocking,always
CONST_009,ACT_002,Actor,requires,blocking,always
CONST_010,RES_001,Resource,limits,restrictive,always
CONST_010,RES_009,Resource,limits,restrictive,always
CONST_011,ACT_001,Actor,requires,blocking,border_proximity
CONST_011,ACT_013,Actor,requires,blocking,international_operations
CONST_012,ACT_011,Actor,requires,blocking,always
CONST_012,RES_009,Resource,prohibits,blocking,restricted_airspace
CONST_013,ACT_005,Actor,requires,blocking,k9_deployment
CONST_013,RES_002,Resource,requires,blocking,always
CONST_014,ACT_002,Actor,requires,blocking,classified_info
CONST_014,ACT_008,Actor,requires,blocking,classified_info
CONST_014,ACT_013,Actor,requires,blocking,inter_agency_sharing
CONST_015,ACT_014,Actor,requires,blocking,always
CONST_015,RES_010,Resource,requires,blocking,always
