from_outcome_id,to_value_id,alignment_score,assessment_method,confidence
OUT_001,VAL_001,0.97,quantitative,0.95
OUT_001,VAL_002,0.94,observable,0.92
OUT_001,VAL_003,0.90,quantitative,0.93
OUT_001,VAL_005,0.96,quantitative,0.94
OUT_001,VAL_008,0.92,qualitative,0.88
OUT_002,VAL_003,0.87,quantitative,0.90
OUT_002,VAL_006,0.94,quantitative,0.92
OUT_002,VAL_007,0.90,observable,0.87
OUT_003,VAL_003,0.89,quantitative,0.91
OUT_003,VAL_005,0.94,quantitative,0.93
OUT_004,VAL_002,0.98,observable,0.96
OUT_004,VAL_006,0.99,quantitative,0.97
OUT_004,VAL_012,0.96,observable,0.94
OUT_005,VAL_001,1.00,quantitative,0.99
OUT_005,VAL_005,1.00,quantitative,0.99
OUT_006,VAL_007,0.85,qualitative,0.80
OUT_006,VAL_009,0.82,subjective,0.75
OUT_007,VAL_003,0.88,quantitative,0.86
OUT_007,VAL_007,0.87,observable,0.84
OUT_008,VAL_002,0.95,observable,0.93
OUT_008,VAL_008,0.94,qualitative,0.90
OUT_008,VAL_012,0.93,observable,0.91
OUT_009,VAL_004,0.86,observable,0.84
OUT_009,VAL_011,0.88,observable,0.86
OUT_010,VAL_003,0.92,quantitative,0.90
OUT_010,VAL_005,0.91,quantitative,0.89
OUT_011,VAL_003,0.84,quantitative,0.82
OUT_011,VAL_007,0.86,qualitative,0.83
OUT_012,VAL_003,0.88,quantitative,0.87
OUT_012,VAL_005,0.90,quantitative,0.89
OUT_013,VAL_003,0.91,quantitative,0.92
OUT_013,VAL_006,0.95,quantitative,0.94
OUT_014,VAL_001,0.98,observable,0.96
OUT_014,VAL_002,0.96,observable,0.94
OUT_014,VAL_005,0.97,quantitative,0.95
OUT_015,VAL_003,0.88,quantitative,0.87
OUT_015,VAL_007,0.92,observable,0.90
