from_risk_id,to_entity_id,to_entity_type,impact_magnitude,imminence,detection_time
RISK_001,ACT_001,Actor,0.75,immediate,15
RISK_001,GOAL_001,Goal,0.82,immediate,15
RISK_001,ACT_005,Actor,0.70,immediate,15
RISK_002,ACT_001,Actor,0.95,short_term,20
RISK_002,GOAL_001,Goal,0.88,short_term,20
RISK_002,VAL_001,Value,0.92,short_term,20
RISK_003,GOAL_002,Goal,0.68,medium_term,30
RISK_003,ACT_002,Actor,0.58,medium_term,30
RISK_003,GOAL_007,Goal,0.75,medium_term,30
RISK_004,ACT_001,Actor,0.72,immediate,0
RISK_004,ACT_005,Actor,0.72,immediate,0
RISK_004,GOAL_006,Goal,0.78,immediate,0
RISK_004,ACT_015,Actor,0.68,immediate,63
RISK_005,GOAL_005,Goal,0.62,short_term,85
RISK_005,GOAL_001,Goal,0.52,short_term,85
RISK_005,VAL_006,Value,0.70,short_term,85
RISK_006,GOAL_001,Goal,0.82,short_term,145
RISK_006,ACT_001,Actor,0.68,short_term,145
RISK_007,GOAL_007,Goal,0.72,medium_term,40
RISK_007,GOAL_002,Goal,0.65,medium_term,40
RISK_007,VAL_009,Value,0.60,medium_term,40
RISK_008,RES_001,Resource,0.58,immediate,0
RISK_008,RES_009,Resource,0.60,immediate,0
RISK_008,GOAL_001,Goal,0.68,immediate,0
RISK_008,GOAL_008,Goal,0.65,immediate,48
RISK_009,ACT_001,Actor,0.78,immediate,0
RISK_009,ACT_004,Actor,0.68,immediate,0
RISK_009,GOAL_006,Goal,0.75,immediate,0
RISK_010,GOAL_005,Goal,0.58,long_term,55
RISK_010,VAL_002,Value,0.65,long_term,55
RISK_010,VAL_012,Value,0.62,long_term,55
RISK_011,ACT_009,Actor,0.90,medium_term,160
RISK_011,GOAL_007,Goal,0.85,medium_term,160
RISK_011,VAL_001,Value,0.88,medium_term,160
RISK_012,GOAL_001,Goal,0.70,long_term,0
RISK_012,ACT_013,Actor,0.75,long_term,0
RISK_012,VAL_011,Value,0.80,long_term,0
RISK_013,RES_009,Resource,0.65,immediate,48
RISK_013,ACT_011,Actor,0.60,immediate,48
RISK_013,GOAL_008,Goal,0.72,immediate,48
RISK_014,ACT_001,Actor,0.55,immediate,0
RISK_014,ACT_005,Actor,0.60,immediate,0
RISK_014,ACT_015,Actor,0.58,immediate,63
RISK_015,ACT_005,Actor,0.75,immediate,70
RISK_015,RES_002,Resource,0.80,immediate,70
RISK_015,ACT_007,Actor,0.65,immediate,70
