relationship_id,relationship_type,source_entity_type,source_id,target_entity_type,target_id,properties
REL_001,pursues,Actor,ACT_001,Goal,GOAL_001,intensity:0.9|priority_rank:1|public_visibility:TRUE
REL_002,pursues,Actor,ACT_002,Goal,GOAL_002,intensity:0.8|priority_rank:1|public_visibility:TRUE
REL_003,pursues,Actor,ACT_001,Goal,GOAL_005,intensity:0.85|priority_rank:2|public_visibility:TRUE
REL_004,pursues,Actor,ACT_002,Goal,GOAL_004,intensity:0.9|priority_rank:2|public_visibility:TRUE
REL_005,pursues,Actor,ACT_005,Goal,GOAL_001,intensity:0.95|priority_rank:1|public_visibility:TRUE
REL_006,pursues,Actor,ACT_007,Goal,GOAL_002,intensity:0.85|priority_rank:1|public_visibility:FALSE
REL_007,pursues,Actor,ACT_001,Goal,GOAL_003,intensity:0.75|priority_rank:3|public_visibility:TRUE
REL_008,pursues,Actor,ACT_003,Goal,GOAL_009,intensity:0.8|priority_rank:1|public_visibility:TRUE
REL_009,pursues,Actor,ACT_003,Goal,GOAL_010,intensity:0.9|priority_rank:2|public_visibility:TRUE
REL_010,requires,Goal,GOAL_001,Resource,RES_001,necessity_level:helpful|quantity_needed:1.0
REL_011,requires,Goal,GOAL_002,Resource,RES_002,necessity_level:essential|quantity_needed:2500000.0
REL_012,requires,Goal,GOAL_001,Resource,RES_005,necessity_level:essential|quantity_needed:850.0
REL_013,requires,Goal,GOAL_003,Resource,RES_002,necessity_level:helpful|quantity_needed:500000.0
REL_014,requires,Goal,GOAL_010,Resource,RES_003,necessity_level:helpful|quantity_needed:1.0
REL_015,requires,Goal,GOAL_009,Resource,RES_007,necessity_level:essential|quantity_needed:40.0
REL_016,possesses,Actor,ACT_001,Resource,RES_001,control_level:full|willingness_to_trade:0.3
REL_017,possesses,Actor,ACT_002,Resource,RES_002,control_level:full|willingness_to_trade:0.7
REL_018,possesses,Actor,ACT_003,Resource,RES_003,control_level:full|willingness_to_trade:0.9
REL_019,possesses,Actor,ACT_006,Resource,RES_004,control_level:full|willingness_to_trade:0.5
REL_020,possesses,Actor,ACT_001,Resource,RES_005,control_level:partial|willingness_to_trade:0.2
REL_021,possesses,Actor,ACT_002,Resource,RES_006,control_level:full|willingness_to_trade:0.1
REL_022,possesses,Actor,ACT_003,Resource,RES_007,control_level:full|willingness_to_trade:1.0
REL_023,possesses,Actor,ACT_002,Resource,RES_008,control_level:full|willingness_to_trade:0.4
REL_024,possesses,Actor,ACT_004,Resource,RES_009,control_level:full|willingness_to_trade:0.6
REL_025,possesses,Actor,ACT_001,Resource,RES_010,control_level:partial|willingness_to_trade:0.0
REL_026,threatens,Risk,RISK_001,Goal,GOAL_001,threat_severity:high|imminence:near_term
REL_027,threatens,Risk,RISK_001,Actor,ACT_001,threat_severity:high|imminence:near_term
REL_028,threatens,Risk,RISK_001,Actor,ACT_002,threat_severity:high|imminence:near_term
REL_029,threatens,Risk,RISK_003,Goal,GOAL_001,threat_severity:critical|imminence:distant
REL_030,threatens,Risk,RISK_003,Actor,ACT_005,threat_severity:critical|imminence:distant
REL_031,threatens,Risk,RISK_004,Goal,GOAL_009,threat_severity:medium|imminence:immediate
REL_032,threatens,Risk,RISK_006,Outcome,OUT_001,threat_severity:high|imminence:near_term
REL_033,threatens,Risk,RISK_007,Goal,GOAL_004,threat_severity:high|imminence:near_term
REL_034,threatens,Risk,RISK_008,Goal,GOAL_009,threat_severity:medium|imminence:long_term
REL_035,threatens,Risk,RISK_009,Goal,GOAL_002,threat_severity:medium|imminence:near_term
REL_036,constrains,Constraint,CON_001,Event,EVT_001,restriction_type:limits|rigidity:0.9
REL_037,constrains,Constraint,CON_001,Event,EVT_002,restriction_type:limits|rigidity:0.9
REL_038,constrains,Constraint,CON_001,Goal,GOAL_001,restriction_type:limits|rigidity:0.9
REL_039,constrains,Constraint,CON_002,Actor,ACT_001,restriction_type:limits|rigidity:0.8
REL_040,constrains,Constraint,CON_003,Actor,ACT_002,restriction_type:limits|rigidity:0.85
REL_041,constrains,Constraint,CON_004,Actor,ACT_001,restriction_type:requires|rigidity:1.0
REL_042,constrains,Constraint,CON_004,Actor,ACT_002,restriction_type:requires|rigidity:1.0
REL_043,constrains,Constraint,CON_005,Goal,GOAL_002,restriction_type:limits|rigidity:0.95
REL_044,constrains,Constraint,CON_006,Outcome,OUT_001,restriction_type:requires|rigidity:1.0
REL_045,constrains,Constraint,CON_010,Event,EVT_008,restriction_type:prohibits|rigidity:1.0
REL_046,enables,Resource,RES_001,Event,EVT_008,sufficiency:TRUE|activation_condition:membership_approval
REL_047,enables,Resource,RES_007,Event,EVT_004,sufficiency:TRUE|activation_condition:parties_consent
REL_048,enables,Resource,RES_007,Event,EVT_010,sufficiency:TRUE|activation_condition:impasse_declared
REL_049,enables,Resource,RES_006,Event,EVT_002,sufficiency:TRUE|activation_condition:board_authorization
REL_050,enables,Resource,RES_009,Event,EVT_008,sufficiency:FALSE|activation_condition:strike_decision
REL_051,causes,Event,EVT_001,Event,EVT_002,causality_type:direct|time_lag:1_day|strength:0.95
REL_052,causes,Event,EVT_003,Event,EVT_004,causality_type:indirect|time_lag:3_days|strength:0.7
REL_053,causes,Event,EVT_006,Event,EVT_007,causality_type:direct|time_lag:3_days|strength:0.8
REL_054,causes,Event,EVT_008,Event,EVT_009,causality_type:indirect|time_lag:2_days|strength:0.65
REL_055,causes,Event,EVT_009,Event,EVT_010,causality_type:direct|time_lag:1_day|strength:0.9
REL_056,causes,Event,EVT_010,Event,EVT_011,causality_type:indirect|time_lag:9_days|strength:0.75
REL_057,causes,Event,EVT_011,Event,EVT_012,causality_type:direct|time_lag:0.04_days|strength:0.95
REL_058,conflicts,Goal,GOAL_001,Goal,GOAL_002,conflict_intensity:0.8|zero_sum:TRUE|reconcilability:partially_reconcilable
REL_059,conflicts,Goal,GOAL_005,Goal,GOAL_008,conflict_intensity:0.6|zero_sum:FALSE|reconcilability:reconcilable
REL_060,conflicts,Goal,GOAL_001,Goal,GOAL_007,conflict_intensity:0.3|zero_sum:FALSE|reconcilability:reconcilable
REL_061,mitigates,Event,EVT_004,Risk,RISK_001,mitigation_effectiveness:0.6|mitigation_type:preventive
REL_062,mitigates,Event,EVT_010,Risk,RISK_001,mitigation_effectiveness:0.75|mitigation_type:responsive
REL_063,mitigates,Resource,RES_007,Risk,RISK_001,mitigation_effectiveness:0.7|mitigation_type:preventive
REL_064,mitigates,Constraint,CON_001,Risk,RISK_001,mitigation_effectiveness:0.4|mitigation_type:preventive
REL_065,mitigates,Event,EVT_006,Risk,RISK_004,mitigation_effectiveness:0.5|mitigation_type:responsive
REL_066,mitigates,Event,EVT_005,Risk,RISK_008,mitigation_effectiveness:0.6|mitigation_type:preventive
REL_067,violates,Event,EVT_009,Value,VAL_004,violation_severity:major|intentionality:TRUE|reversibility:FALSE
REL_068,violates,Event,EVT_008,Constraint,CON_007,violation_severity:moderate|intentionality:FALSE|reversibility:TRUE
REL_069,trades,Actor,ACT_001,Resource,RES_001,trade_direction:offers|conditionality:wage_increase|reciprocity_expected:TRUE
REL_070,trades,Actor,ACT_002,Resource,RES_002,trade_direction:offers|conditionality:reasonable_demands|reciprocity_expected:TRUE
