source_event_id,target_entity_id,target_entity_type,causality_strength,time_delay,probability
EVT_001,EVT_010,Event,0.9,15.0,0.9
EVT_002,EVT_009,Event,0.6,45.0,0.7
EVT_003,GOAL_004,Goal,0.7,50.0,0.85
EVT_004,EVT_005,Event,0.9,90.0,0.6
EVT_005,EVT_012,Event,0.75,45.0,0.75
EVT_010,EVT_006,Event,0.7,75.0,0.8
EVT_012,EVT_013,Event,0.95,5.0,0.98
EVT_013,EVT_014,Event,0.85,25.0,0.9
EVT_014,OUT_001,Outcome,0.95,15.0,0.95
EVT_002,OUT_007,Outcome,0.7,60.0,0.85
EVT_003,OUT_007,Outcome,0.7,45.0,0.85
EVT_004,OUT_007,Outcome,0.8,30.0,0.9
EVT_008,OUT_003,Outcome,0.9,10.0,0.95
EVT_015,OUT_002,Outcome,0.95,90.0,0.98
EVT_007,OUT_004,Outcome,0.8,15.0,0.9
EVT_013,OUT_004,Outcome,0.9,25.0,0.92
EVT_001,RISK_001,Risk,0.8,0.0,0.95
EVT_001,RISK_002,Risk,0.7,30.0,0.8
EVT_004,RISK_005,Risk,0.4,90.0,0.5
EVT_010,RISK_002,Risk,0.6,0.0,0.75
EVT_005,OUT_009,Outcome,0.85,0.0,0.8
EVT_006,OUT_009,Outcome,0.7,15.0,0.75
EVT_012,OUT_009,Outcome,0.9,5.0,0.9
