source_entity_id,source_entity_type,target_risk_id,mitigation_effectiveness,mitigation_type
EVT_006,Event,RISK_001,0.7,protective
EVT_006,Event,RISK_002,0.6,protective
EVT_008,Event,RISK_003,0.9,preventive
EVT_010,Event,RISK_002,0.75,preventive
EVT_013,Event,RISK_001,0.85,reactive
EVT_013,Event,RISK_009,0.9,reactive
EVT_014,Event,RISK_005,0.95,reactive
EVT_007,Event,RISK_009,0.7,preventive
RES_001,Resource,RISK_001,0.8,preventive
RES_001,Resource,RISK_009,0.75,preventive
RES_002,Resource,RISK_007,0.9,preventive
RES_003,Resource,RISK_003,0.85,preventive
RES_008,Resource,RISK_002,0.7,protective
RES_010,Resource,RISK_003,0.95,preventive
ACT_001,Actor,RISK_010,0.8,preventive
ACT_004,Actor,RISK_001,0.85,reactive
ACT_004,Actor,RISK_009,0.9,reactive
ACT_007,Actor,RISK_003,0.8,preventive
ACT_008,Actor,RISK_007,0.7,preventive
ACT_008,Actor,RISK_010,0.75,preventive
ACT_010,Actor,RISK_002,0.7,preventive
ACT_010,Actor,RISK_004,0.65,preventive
ACT_010,Actor,RISK_005,0.6,preventive
