source_actor_id,target_resource_id,quantity_held,access_level
ACT_001,RES_001,2.0,full
ACT_001,RES_003,4.0,full
ACT_001,RES_007,5.0,full
ACT_001,RES_010,1.0,full
ACT_002,RES_003,2.0,full
ACT_002,RES_006,2.0,full
ACT_002,RES_007,2.0,full
ACT_002,RES_008,2.0,full
ACT_002,RES_012,40.0,full
ACT_002,RES_013,20.0,full
ACT_002,RES_015,6.0,full
ACT_003,RES_003,2.0,full
ACT_003,RES_006,2.0,full
ACT_003,RES_007,2.0,full
ACT_003,RES_008,2.0,full
ACT_003,RES_012,40.0,full
ACT_003,RES_013,20.0,full
ACT_003,RES_015,6.0,full
ACT_004,RES_002,80.0,full
ACT_004,RES_003,2.0,shared
ACT_004,RES_011,4.0,full
ACT_005,RES_001,1.0,temporary
ACT_005,RES_003,1.0,full
ACT_005,RES_004,450.0,full
ACT_005,RES_007,1.0,full
ACT_006,RES_003,1.0,full
ACT_006,RES_007,2.0,full
ACT_006,RES_012,30.0,full
ACT_006,RES_013,15.0,full
ACT_007,RES_003,2.0,full
ACT_007,RES_010,1.0,full
ACT_008,RES_002,20.0,full
ACT_008,RES_004,200.0,shared
ACT_008,RES_008,6.0,full
ACT_008,RES_012,90.0,full
ACT_009,RES_003,1.0,full
ACT_009,RES_005,2.0,full
ACT_009,RES_007,2.0,full
ACT_009,RES_013,15.0,full
ACT_010,RES_009,1.0,full
ACT_010,RES_010,1.0,shared
